artist,song,duration_ms,year,genre,danceability
LeAnn Rimes,I Need You,229826,2001,pop; country,0.478
Avant,Separated,255600,2000,pop; R&B,0.798
Enrique Iglesias,Be With You,219360,1999,pop; latin,0.683
Toni Braxton,He Wasn't Man Enough,261933,2000,pop; R&B,0.739
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,2000,hip hop; pop; R&B,0.852
Dr. Dre,Forgot About Dre,222293,1999,hip hop,0.924
Missy Elliott,Hot Boyz,215466,1998,hip hop; pop; R&B,0.727
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,1999,pop,0.63
Samantha Mumba,Gotta Tell You,201946,2018,pop,0.729
MÃ½a,Case Of The Ex (Whatcha Gonna Do),236906,2000,pop; R&B,0.772
Mary Mary,Shackles (Praise You),198346,2000,R&B,0.779
Next,Wifey,243666,2004,hip hop; pop; R&B,0.829
Janet Jackson,Doesn't Really Matter,265026,2001,pop; R&B,0.771
Ricky Martin,She Bangs - English Version,280626,2000,pop; latin,0.63
Jagged Edge,He Can't Love U,244053,2000,hip hop; pop; R&B,0.721
Sisqo,Incomplete,274226,1999,hip hop; pop; R&B,0.746
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,2000,hip hop,0.8
Mariah Carey,Thank God I Found You (feat. Joe & 98Â°),257360,1999,pop; R&B,0.348
Baha Men,Who Let The Dogs Out,198400,2000,R&B,0.869
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1999,pop; R&B,0.854
LeAnn Rimes,Can't Fight The Moonlight,215506,2001,pop; country,0.628
Oasis,Go Let It Out,278666,2000,Folk/Acoustic; rock,0.408
DJ Ã–tzi,Hey Baby (Radio Mix),219240,2010,pop; easy listening; Dance/Electronic,0.666
P!nk,Most Girls,298960,2000,pop,0.742
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,2011,pop; R&B,0.471
Craig David,Fill Me In,257200,2000,hip hop; pop; R&B,0.682
Christina Aguilera,I Turn to You,273706,1999,pop,0.599
Madonna,American Pie,273533,2000,pop,0.631
Red Hot Chili Peppers,Otherside,255373,1999,rock,0.458
Sammie,I Like It,251040,2000,hip hop; pop; R&B,0.826
Craig David,7 Days,235133,2000,hip hop; pop; R&B,0.659
Santana,Maria Maria (feat. The Product G&B),261973,1999,rock; blues; latin,0.777
Kandi,Don't Think I'm Not,243533,2000,pop; R&B,0.859
P!nk,There You Go,202800,2000,pop,0.822
Vengaboys,Shalala Lala,214819,2000,pop,0.751
Ronan Keating,Life Is A Rollercoaster,234826,2000,pop; rock,0.655
Madison Avenue,Don't Call Me Baby,228140,1999,Dance/Electronic,0.808
Destiny's Child,"Jumpin', Jumpin'",230200,1999,pop; R&B,0.771
CÃ©line Dion,That's the Way It Is,241373,1999,pop,0.634
3 Doors Down,Kryptonite,233933,2000,pop; rock; metal,0.545
Carl Thomas,I Wish,226760,2000,pop; R&B,0.736
Mystikal,Shake Ya Ass,256973,2000,hip hop; pop,0.914
Fuel,Hemorrhage (In My Hands),236866,2000,rock; pop; metal,0.313
Donell Jones,Where I Wanna Be,253626,1999,pop; R&B,0.664
Savage Garden,Crash and Burn,281466,1999,pop,0.581
Westlife,My Love,231760,2000,pop,0.491
All Saints,Pure Shores,268746,2000,pop,0.631
Destiny's Child,"Independent Women, Pt. 1",221133,2001,pop; R&B,0.73
*NSYNC,It's Gonna Be Me,191040,2000,pop,0.644
Erykah Badu,Bag Lady,348893,2000,hip hop; R&B,0.724
Marc Anthony,You Sang To Me,347106,1999,pop; latin,0.578
Matchbox Twenty,Bent,256133,2000,pop; rock,0.518
Gabrielle,Rise,219093,2001,pop; R&B,0.558
Backstreet Boys,Shape of My Heart,230093,2000,pop,0.575
Creed,With Arms Wide Open,274800,1999,pop; rock; metal,0.41
The Corrs,Breathless,207506,2000,pop; Folk/Acoustic,0.607
Joe,I Wanna Know,296693,2000,pop; R&B,0.725
Wheatus,Teenage Dirtbag,241666,1999,set(),0.625
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,1999,pop,0.829
Creed,Higher,316733,1999,pop; rock; metal,0.459
Britney Spears,Lucky,206226,2000,pop,0.765
Nelly,Country Grammar (Hot Shit),287000,2000,hip hop; pop; R&B,0.865
Shaggy,It Wasn't Me,227600,2000,hip hop; pop,0.853
Destiny's Child,Survivor,254026,2001,pop; R&B,0.514
Eminem,Stan,404106,2000,hip hop,0.78
Kylie Minogue,Can't Get You out of My Head,230640,2001,pop; Dance/Electronic,0.766
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,2001,pop,0.76
Nelly Furtado,I'm Like A Bird,243160,2000,hip hop; pop; latin,0.622
Shakira,"Whenever, Wherever",196160,2001,pop; latin,0.794
Jimmy Eat World,The Middle,165853,2001,rock; pop,0.643
Train,Drops of Jupiter (Tell Me),259933,2001,pop,0.481
Geri Halliwell,It's Raining Men,254640,2001,pop,0.637
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,2001,pop; R&B,0.667
Britney Spears,I'm a Slave 4 U,203600,2001,pop,0.847
Kylie Minogue,In Your Eyes,197826,2001,pop; Dance/Electronic,0.689
Missy Elliott,One Minute Man (feat. Ludacris),252986,2001,hip hop; pop; R&B,0.622
Mary J. Blige,Family Affair,265866,2001,pop; R&B,0.911
Faithless,We Come 1 - Radio Edit,222435,2015,pop; Dance/Electronic,0.645
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,2000,metal,0.603
Lasgo,Something,220973,2001,pop,0.643
iio,Rapture (feat.Nadia Ali),253586,2006,Dance/Electronic,0.661
Emma Bunton,What Took You So Long?,241000,2001,pop,0.668
112,It's Over Now,264933,2001,hip hop; pop; R&B,0.66
Blue,All Rise,223546,2001,pop,0.721
Jessica Simpson,Irresistible,194026,2001,pop; R&B,0.657
Crazy Town,Butterfly,216733,1999,rock; metal,0.736
Michael Jackson,You Rock My World,337733,2001,pop; R&B,0.854
Eve,Let Me Blow Ya Mind,230133,2001,hip hop; pop; R&B,0.908
Jennifer Lopez,Ain't It Funny,246160,2001,hip hop; pop; R&B,0.707
Brandy,Another Day in Paradise - R&B-Version,271626,2002,hip hop; pop; R&B,0.7
Nickelback,How You Remind Me,223840,2001,rock; metal,0.446
Daft Punk,One More Time,320357,2001,hip hop; Dance/Electronic,0.613
Outkast,Ms. Jackson,270506,2000,hip hop; pop,0.843
Fragma,Everytime You Need Me - Radio Version,213346,2001,pop; Dance/Electronic,0.682
Mariah Carey,Loverboy,229173,2001,pop; R&B,0.721
Dido,Thank You,218360,1999,pop,0.725
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,2000,pop; R&B,0.767
P.O.D.,Youth of the Nation,256240,2001,rock; metal,0.563
Jennifer Lopez,Play,211493,2001,hip hop; pop; R&B,0.775
Missy Elliott,Get Ur Freak On,211120,2001,hip hop; pop; R&B,0.797
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,2008,pop; latin,0.635
Christina Milian,AM To PM,231213,2001,hip hop; pop; R&B,0.872
Roger Sanchez,Another Chance,452906,2000,Dance/Electronic,0.61
Gorillaz,Clint Eastwood,340920,2001,hip hop,0.663
2Pac,Until The End Of Time,266506,2001,hip hop,0.757
Tamia,Stranger in My House,285386,2000,pop; R&B,0.676
Mary J. Blige,No More Drama,326240,2001,pop; R&B,0.653
Jennifer Lopez,Love Don't Cost a Thing,221226,2001,hip hop; pop; R&B,0.786
Jamiroquai,Little L,295400,2001,pop,0.878
Case,Missing You,284666,2001,hip hop; pop; R&B,0.612
112,Peaches & Cream,193093,2001,hip hop; pop; R&B,0.677
Five,Let's Dance - Radio Edit,218626,2001,pop,0.631
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,2001,Dance/Electronic,0.464
Alien Ant Farm,Smooth Criminal,209266,2001,rock; metal,0.653
Erick Sermon,Music (feat. Marvin Gaye),223133,2001,hip hop; pop,0.897
D12,Purple Pills,304506,2001,hip hop; pop; rock,0.78
Usher,Pop Ya Collar - Radio Edit,210813,2016,hip hop; pop; R&B,0.888
Madonna,Don't Tell Me,280973,2000,pop,0.699
Blue,If You Come Back,207560,2001,pop,0.582
Atomic Kitten,Eternal Flame - Single Version,195506,2001,pop,0.578
Jagged Edge,Where the Party At (feat. Nelly),232573,2001,hip hop; pop; R&B,0.596
Afroman,Because I Got High,197760,2001,hip hop,0.802
S Club 7,Don't Stop Movin',233626,2001,pop,0.822
Craig David,Fill Me In,257200,2000,hip hop; pop; R&B,0.682
Nelly Furtado,Turn Off The Light,276106,2000,hip hop; pop; latin,0.587
The Supermen Lovers,Starlight - Radio Edit,234400,2001,Dance/Electronic,0.739
Mis-Teeq,All I Want - Sunship Radio Edit,207400,2004,pop; Dance/Electronic,0.795
Jagged Edge,Promise,246720,2000,hip hop; pop; R&B,0.751
S Club 7,Have You Ever,201533,2001,pop,0.585
Enya,Only Time,218546,2000,World/Traditional; Folk/Acoustic,0.418
Faith Hill,There You'll Be,222120,2001,pop; country,0.321
Ronan Keating,Lovin' Each Day,212973,2000,pop; rock,0.541
Destiny's Child,Bootylicious,207906,2001,pop; R&B,0.84
Steps,It's the Way You Make Me Feel,197360,2000,pop; Dance/Electronic,0.573
Sunshine Anderson,Heard It All Before,295826,2001,pop; R&B,0.697
Lenny Kravitz,Again,231666,2000,rock; pop,0.55
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,2002,pop,0.836
DB Boulevard,Point Of View - Radio Edit,231166,2018,Dance/Electronic,0.676
Janet Jackson,All For You,329933,2001,pop; R&B,0.753
Atomic Kitten,Whole Again,185013,2001,pop,0.747
Ja Rule,Livin' It Up,257066,2001,hip hop; pop; R&B,0.874
Destiny's Child,"Independent Women, Pt. 1",221133,2001,pop; R&B,0.73
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,2001,Dance/Electronic,0.847
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,2001,hip hop; pop; R&B,0.708
Musiq Soulchild,Love,304666,2000,pop; R&B,0.569
So Solid Crew,21 Seconds,302826,2001,Dance/Electronic,0.607
Robbie Williams,Eternity,302760,2001,pop; rock,0.469
Basement Jaxx,Romeo,217493,2001,pop; Dance/Electronic,0.713
Ludacris,Southern Hospitality (Featuring Pharrell),300933,2000,hip hop; pop,0.623
Gabrielle,Rise,219093,2001,pop; R&B,0.558
Nelly,Ride Wit Me,291781,2000,hip hop; pop; R&B,0.85
Trick Daddy,I'm a Thug,254400,2001,hip hop; pop,0.933
Travis,Sing,228800,2001,rock; pop,0.33
JAY-Z,Izzo (H.O.V.A.),240626,2001,hip hop,0.618
Gabrielle,Out Of Reach,196986,2001,pop; R&B,0.51
OPM,Heaven Is a Halfpipe (If I Die),257426,2000,rock,0.743
K-Ci & JoJo,Crazy,262773,2019,pop; R&B,0.68
Staind,It's Been Awhile,264706,2001,rock; metal,0.509
3LW,No More (Baby I'ma Do Right),263440,2000,pop; R&B,0.721
Ginuwine,Differences,265533,2001,hip hop; pop; R&B,0.562
*NSYNC,Gone,292000,2001,pop,0.699
Lifehouse,Hanging By A Moment,216360,2000,pop; rock; metal,0.537
Nelly,Dilemma,289160,2002,hip hop; pop; R&B,0.727
Eminem,Without Me,290320,2002,hip hop,0.908
Avril Lavigne,Complicated,244506,2002,pop,0.585
Vanessa Carlton,A Thousand Miles,237493,2002,Folk/Acoustic; pop,0.56
The Calling,Wherever You Will Go,208600,2001,pop,0.558
Shakira,Underneath Your Clothes,224066,2001,pop; latin,0.616
No Doubt,Underneath It All,302720,2001,rock; pop,0.729
Truth Hurts,Addictive,226440,2002,pop; R&B,0.701
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,hip hop; pop,0.648
Eminem,Till I Collapse,297786,2002,hip hop,0.548
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,2004,hip hop; pop,0.713
Christina Milian,When You Look At Me - Radio Edit,222546,2001,hip hop; pop; R&B,0.955
Madonna,Die Another Day,276360,2003,pop,0.792
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,2002,hip hop; pop; R&B,0.718
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,2019,pop,0.583
Linkin Park,In the End,216880,2000,rock; metal,0.556
Las Ketchup,The Ketchup Song (AserejÃ©) - Spanglish Version,213973,2002,set(),0.607
Aaliyah,Rock The Boat,275026,2019,hip hop; pop; R&B,0.641
Holly Valance,Kiss Kiss,204400,2002,pop; Dance/Electronic,0.705
Sugababes,Round Round,236426,2002,pop; R&B,0.74
Marilyn Manson,Tainted Love,200426,2003,rock; metal,0.622
Brandy,What About Us?,253200,2002,hip hop; pop; R&B,0.686
Chad Kroeger,Hero (feat. Josey Scott),200480,2003,metal,0.427
Britney Spears,Overprotected - Radio Edit,198600,2001,pop,0.682
Scooter,The Logical Song,234116,2013,pop; Dance/Electronic,0.527
Missy Elliott,4 My People (feat. Eve),289373,2001,hip hop; pop; R&B,0.969
Aaliyah,More Than A Woman,230346,2002,hip hop; pop; R&B,0.646
Brandy,Full Moon,248933,2002,hip hop; pop; R&B,0.611
Blue,One Love,207186,2002,pop,0.683
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,2001,hip hop; pop,0.697
CÃ©line Dion,A New Day Has Come - Radio Remix,259773,2001,pop,0.574
Scooter,Nessaja,208449,2013,pop; Dance/Electronic,0.486
Eve,Gangsta Lovin',239266,2002,hip hop; pop; R&B,0.723
Disturbing Tha Peace,Move Bitch,272293,2002,hip hop; pop,0.777
Khia,"My Neck, My Back (Lick It)",222560,2015,pop; R&B,0.859
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,2002,hip hop; pop; R&B,0.66
Kylie Minogue,Spinning Around,207866,2000,pop; Dance/Electronic,0.761
Nelly,Hot In Herre,228240,2002,hip hop; pop; R&B,0.956
Gareth Gates,Anyone of Us (Stupid Mistake),227866,2003,pop,0.7
Christina Aguilera,Dirrty (feat. Redman),298853,2002,pop,0.64
B2K,Uh Huh,223293,2002,hip hop; pop; R&B,0.855
Sugababes,Freak Like Me,195866,2002,pop; R&B,0.517
Dirty Vegas,Days Go By,432146,2002,Dance/Electronic,0.786
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,2001,hip hop; pop,0.835
Liberty X,Just A Little,237359,2019,pop,0.786
No Doubt,Hella Good,242586,2001,rock; pop,0.771
LL Cool J,Luv U Better,287000,2002,hip hop; pop; R&B,0.668
Red Hot Chili Peppers,Can't Stop,269000,2002,rock,0.618
Musiq Soulchild,Halfcrazy,254493,2002,pop; R&B,0.412
Sean Paul,Gimme the Light,228000,2002,hip hop; pop,0.778
Faith Evans,I Love You,267160,2001,hip hop; pop; R&B,0.489
Charli Baltimore,Down 4 U,318213,2002,pop,0.64
Kylie Minogue,Love at First Sight,238266,2001,pop; Dance/Electronic,0.603
N.O.R.E.,Nothin',264653,2002,hip hop; pop,0.791
Gareth Gates,Unchained Melody,233666,2003,pop,0.368
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,2005,hip hop; pop,0.66
Big Brovaz,Nu Flow,201480,2001,pop,0.783
No Doubt,Hey Baby,207040,2001,rock; pop,0.705
Ashanti,Baby,265706,2002,hip hop; pop; R&B,0.567
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,2002,pop; Dance/Electronic,0.734
Justin Timberlake,Like I Love You,283626,2002,pop,0.853
Mary J. Blige,Rainy Dayz,276373,2001,pop; R&B,0.412
A1,Caught in the Middle,206466,2001,pop,0.519
Eminem,Cleanin' Out My Closet,297840,2002,hip hop,0.908
Ashanti,Happy,262226,2002,hip hop; pop; R&B,0.727
Delta Goodrem,Born to Try,251280,2003,pop,0.542
P!nk,Get the Party Started,192533,2001,pop,0.802
Alicia Keys,A Woman's Worth,303333,2001,pop; R&B,0.652
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,2002,pop,0.838
Coldplay,Clocks,307879,2002,rock; pop,0.577
Missy Elliott,Work It,263226,2002,hip hop; pop; R&B,0.884
Ronan Keating,If Tomorrow Never Comes,214306,2002,pop; rock,0.555
Big Tymers,Still Fly,335613,2002,hip hop; pop,0.675
Creed,My Sacrifice,294600,2001,pop; rock; metal,0.32
Ja Rule,Always On Time,245133,2001,hip hop; pop; R&B,0.839
Ashanti,Foolish,227386,2002,hip hop; pop; R&B,0.665
Avril Lavigne,Sk8er Boi,204000,2002,pop,0.487
DJ Sammy,Heaven,233600,2002,pop,0.571
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,2001,pop,0.534
Camâ€™ron,Oh Boy,204706,2002,hip hop; pop,0.754
Red Hot Chili Peppers,By the Way,216933,2002,rock,0.451
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,2002,rock; easy listening,0.597
Atomic Kitten,The Tide Is High - Radio Mix,206093,2002,pop,0.783
*NSYNC,Girlfriend,253600,2001,pop,0.745
Robbie Williams,Somethin' Stupid,170493,2001,pop; rock,0.654
Alanis Morissette,Hands Clean,269400,2002,pop; Folk/Acoustic,0.513
Usher,U Don't Have to Call,269400,2001,hip hop; pop; R&B,0.793
Creed,One Last Breath - Radio Version,242000,2015,pop; rock; metal,0.38
The Goo Goo Dolls,Here Is Gone,238173,2002,pop; rock,0.338
Puddle Of Mudd,She Hates Me,216760,2001,rock; metal,0.58
Ludacris,Rollout (My Business),296586,2001,hip hop; pop,0.921
Blazin' Squad,Crossroads - Radio Edit,188693,2012,set(),0.661
Default,Wasting My Time,268693,2001,rock; pop; metal,0.443
Michelle Branch,All You Wanted,217680,2001,pop; Folk/Acoustic,0.499
Daniel Bedingfield,If You're Not The One,257026,2002,pop,0.688
Enrique Iglesias,Escape,208626,2001,pop; latin,0.776
Puddle Of Mudd,Blurry,303920,2001,rock; metal,0.432
Coldplay,In My Place,226680,2002,rock; pop,0.424
Outkast,The Whole World (feat. Killer Mike),295346,2001,hip hop; pop,0.814
P!nk,Don't Let Me Get Me - Radio Edit,210693,2001,pop,0.624
50 Cent,In Da Club,193466,2003,hip hop; pop,0.899
Sean Paul,Get Busy,211666,2002,hip hop; pop,0.735
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,2004,hip hop,0.686
BeyoncÃ©,Crazy In Love (feat. Jay-Z),236133,2003,pop; R&B,0.646
Counting Crows,Big Yellow Taxi,225426,2003,rock; pop,0.669
Black Eyed Peas,Where Is The Love?,272533,2003,hip hop; pop,0.835
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,2002,hip hop; pop; R&B,0.845
Black Eyed Peas,Shut Up,296186,2003,hip hop; pop,0.81
t.A.T.u.,All The Things She Said,214440,2020,pop,0.527
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,2003,pop; Dance/Electronic,0.793
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,2002,hip hop; pop,0.648
Panjabi MC,Mundian to Bach Ke,244666,2003,World/Traditional; hip hop,0.778
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,2004,pop; Dance/Electronic,0.734
JAY-Z,03' Bonnie & Clyde,205560,2002,hip hop,0.759
50 Cent,P.I.M.P.,249480,2003,hip hop; pop,0.712
Jamelia,Superstar,215480,2003,pop,0.801
Linkin Park,Faint,162600,2003,rock; metal,0.554
DMX,X Gon' Give It To Ya,217586,2007,hip hop; pop,0.761
Evanescence,Bring Me To Life,235893,2003,metal,0.331
Sugababes,Hole In The Head,218173,2003,pop; R&B,0.785
Craig David,Rise & Fall (feat. Sting),287226,2002,hip hop; pop; R&B,0.405
Three Days Grace,I Hate Everything About You,231480,2003,rock; metal,0.498
Lil Jon & The East Side Boyz,Get Low,324600,2002,hip hop; pop,0.78
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,2003,hip hop; pop; R&B,0.835
Baby Bash,Suga Suga,239026,2003,hip hop; pop; R&B; latin,0.662
Aaliyah,Miss You - Main,245240,2002,hip hop; pop; R&B,0.602
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,2003,pop,0.804
Blue,Sorry Seems To Be The Hardest Word,210066,2004,pop,0.564
Delta Goodrem,Lost Without You,248546,2003,pop,0.581
Justin Timberlake,Rock Your Body,267266,2002,pop,0.892
The White Stripes,Seven Nation Army,231920,2003,rock; blues,0.741
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,2003,hip hop; pop,0.772
BeyoncÃ©,Baby Boy (feat. Sean Paul),244826,2003,pop; R&B,0.655
Lil' Kim,Magic Stick,359973,2019,hip hop; pop; R&B,0.849
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,2002,pop,0.859
Nickelback,Someday,207466,2003,rock; metal,0.455
Blue,U Make Me Wanna - Radio Edit,222400,2003,pop,0.6
Ashanti,Rain On Me,297960,2003,hip hop; pop; R&B,0.606
Trapt,Headstrong,285569,2002,rock; metal,0.492
Simply Red,Sunrise,199040,2008,rock; R&B; Folk/Acoustic; pop,0.791
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,2003,pop; R&B,0.811
Girls Aloud,Sound Of The Underground,221426,2003,pop; Dance/Electronic,0.568
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,2016,hip hop; pop; R&B,0.527
Room 5,Make Luv,212413,2003,Dance/Electronic,0.883
Fatman Scoop,Be Faithful,164506,2009,hip hop,0.649
Limp Bizkit,Behind Blue Eyes,269973,2003,metal,0.595
Sugababes,Too Lost In You,237693,2003,pop; R&B,0.586
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,2003,hip hop; pop,0.802
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,2003,hip hop; pop,0.894
Chingy,Right Thurr,250746,2003,hip hop; pop; R&B,0.866
Eminem,Sing For The Moment,339546,2002,hip hop,0.668
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,2003,hip hop; pop; R&B,0.853
MÃ½a,My Love Is Like...Wo - Main Mix,209533,2003,pop; R&B,0.831
50 Cent,21 Questions,224440,2003,hip hop; pop,0.646
Nelly,Air Force Ones,304000,2002,hip hop; pop; R&B,0.784
Missy Elliott,Gossip Folks (feat. Ludacris),234893,2002,hip hop; pop; R&B,0.707
Girls Aloud,Jump,220360,2003,pop; Dance/Electronic,0.658
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,2003,pop; Dance/Electronic,0.553
Christina Aguilera,Fighter,245960,2002,pop,0.435
Frankie J,Don't Wanna Try,245293,2003,hip hop; pop; R&B,0.655
Snoop Dogg,Beautiful,299146,2005,hip hop; pop,0.893
Floetry,Say Yes,268373,2002,hip hop; pop; R&B,0.747
Ginuwine,In Those Jeans,243306,2003,hip hop; pop; R&B,0.691
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,2003,rock,0.66
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,2003,pop; Dance/Electronic,0.85
Ludacris,Stand Up,213760,2003,hip hop; pop,0.751
Nas,I Can,253720,2002,hip hop,0.837
3 Doors Down,When I'm Gone,260333,2002,pop; rock; metal,0.53
Tyrese,How You Gonna Act Like That,294693,2002,hip hop; pop; R&B,0.733
Justin Timberlake,Cry Me a River,288333,2002,pop,0.624
Westlife,Mandy,199320,2003,pop,0.447
No Doubt,It's My Life,226053,2003,rock; pop,0.612
Amanda Perez,Angel,218760,2003,pop; R&B,0.638
JAY-Z,Excuse Me Miss,281240,2002,hip hop,0.714
Coldplay,Clocks,307879,2002,rock; pop,0.577
Kelly Rowland,Stole,249293,2002,hip hop; pop; R&B,0.649
Missy Elliott,Work It,263226,2002,hip hop; pop; R&B,0.884
Ashanti,Rock Wit U (Awww Baby),209120,2003,hip hop; pop; R&B,0.71
Junior Senior,Move Your Feet,181826,2002,pop,0.747
Audioslave,Like a Stone,293960,2002,rock; metal,0.614
Sean Paul,Like Glue,232506,2002,hip hop; pop,0.757
Jaheim,Put That Woman First,245773,2002,pop; R&B,0.649
Jennifer Lopez,All I Have (feat. LL Cool J),254466,2002,hip hop; pop; R&B,0.701
Monica,So Gone,242773,2003,pop; R&B,0.618
Dido,White Flag,240040,2003,pop,0.512
The Roots,The Seed (2.0),267933,2002,hip hop,0.758
Chingy,Holidae In,314400,2003,hip hop; pop; R&B,0.81
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,2003,hip hop; pop; R&B,0.646
Kelly Clarkson,Miss Independent,214773,2003,pop; R&B,0.656
Ja Rule,Mesmerize,278693,2002,hip hop; pop; R&B,0.769
Matchbox Twenty,Unwell,228706,2002,pop; rock,0.256
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,hip hop; pop,0.871
Fabolous,Into You (feat. Tamia),295773,2003,hip hop; pop; R&B,0.546
Switchfoot,Meant to Live,201373,2003,rock; pop,0.397
Daniel Bedingfield,If You're Not The One,257026,2002,pop,0.688
Good Charlotte,Lifestyles of the Rich & Famous,190173,2002,rock; metal,0.62
Wayne Wonder,No Letting Go,202013,2003,hip hop; R&B,0.496
The Strokes,Reptilia,219826,2003,rock,0.489
